Record number	In-ref ID	Individual ID	Predator	Predator common name	Predator  taxon	Predator lifestage	Type of feeding interaction	Predator length	Predator length unit	Predator dimension measured	Predator standard length	Predator fork length	Predator total length	Predator TL/FL/SL conversion reference	Standardised predator length	Predator measurement type	Predator length-mass conversion method	Predator length-mass conversion reference	Predator quality of length-mass conversion	Predator mass	Predator mass unit	Predator mass check	Predator mass check diff	Predator ratio mass/mass	SI predator mass	Diet coverage	Prey	Prey common name	Prey taxon	Prey length	Prey length unit	Prey conversion to length method	Prey quality of conversion to length	Prey conversion to length reference	SI prey length	Prey dimension measured	Prey width	Prey width unit	Prey measurement type	Prey mass	Prey mass unit	Prey mass check	Prey mass check diff	Prey ratio mass/mass	SI prey mass	Prey conversion to mass method	Prey conversion to mass reference	Prey quality of conversion to mass	Geographic location	Latitude	Longitude	Depth	Mean annual temp	SD annual temp	Mean PP	SD PP	Reference	Specific habitat	Notes / assumptions
4999	n/a	872	Thunnus obesus	Bigeye tuna	ectotherm vertebrate	adult	piscivorous	105	cm	standard length	105	110.64	117.81	Fishbase (species)	117.81	individual	M=0.0178SL^2.902	Nakamura and Uchiyama (1966)	1	13059	g	85571	72512	6.5526	13059	all	fish	fish	ectotherm vertebrate	10.6	cm	n/a	0	n/a	10.6	Standard length	n/a	n/a	individual	11.91	g	62.33	50.42	5.2333	11.91	M=0.01L^3	Standard fish shape	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
15485	Ge45	6990	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	63	cm	standard length	63	66.386	71.001	Fishbase (species)	71.001	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	5084.4	g	18731	13647	3.6841	5084.4	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	4.0953	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	4.0953	mass	n/a	n/a	individual	0.42597	g	3.5944	3.1685	8.4383	0.42597	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
32020	6490	16781	Nototheniops larseni	Antarctic fish	ectotherm vertebrate	larva	predacious	17.55	mm	standard length	17.55	0	0	n/a	1.755	individual	M=0.0159SL^3	Froese and Pauly (2007)	2	0.085947	g	0.28288	0.19694	3.2914	0.085947	all	Oithona sp.	copepod	ectotherm invertebrate	0.53	mm	n/a	0	n/a	0.053	cephalothorax length	n/a	n/a	individual	7.2575e-7	g	7.7912e-6	7.0655e-6	10.735	7.2575e-7	M=(9.47x10-7*(L*10000)^2.16)/1000000	Kiorboe & Sabatini (1994)	2	Antarctic Peninsula	63º00'S	58º00'W	881	-1.3	0.6	230	26	Kellermann, A. (1990)	Seasonal Pack Ice Zone	None
12949	n/a	6210	Pomatomus saltatrix	Bluefish	ectotherm vertebrate	adult	piscivorous	370	mm	total length	321.9	341.51	370	Fishbase (species)	37	individual	M=0.0136TL^2.899	Haimovici and Velasco (2000)	1	478.36	g	2650.8	2172.5	5.5415	478.36	all	fish unidentified	fish	ectotherm vertebrate	63	mm	n/a	0	n/a	6.3	total length	n/a	n/a	individual	2.5005	g	13.086	10.585	5.2333	2.5005	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
5363	n/a	908	Thunnus obesus	Bigeye tuna	ectotherm vertebrate	adult	piscivorous	90	cm	standard length	90	94.837	100.98	Fishbase (species)	100.98	individual	M=0.0178SL^2.902	Nakamura and Uchiyama (1966)	1	8348.9	g	53887	45538	6.4544	8348.9	all	fish	fish	ectotherm vertebrate	3.4	cm	n/a	0	n/a	3.4	Standard length	n/a	n/a	individual	0.39304	g	2.0569	1.6639	5.2333	0.39304	M=0.01L^3	Standard fish shape	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
29303	n/a	15860	Merlangius merlangus	Whiting	ectotherm vertebrate	adult	piscivorous	59	cm	total length	53.395	0	59	Fishbase (species)	59	individual	M=0.0062SL^3.1029	Dorel (1986)	1	1421.2	g	10748	9327	7.5628	1421.2	fish	Clupea harengus	Atlantic herring	ectotherm vertebrate	16	cm	n/a	0	n/a	16	total length	n/a	n/a	individual	34.827	g	214.36	179.53	6.1549	34.827	M=0.0050*L^3.1915	Coull et al. (1989)	1	Europe, Celtic Sea ecosystem	50º50'N	08º00'W	102	12.9	3	607	18	Pinnegar et al. (2003)	demersal food web	Contiguous predators of same length assumed same individual
6309	n/a	968	Thunnus obesus	Bigeye tuna	ectotherm vertebrate	adult	predacious	110	cm	standard length	110	115.91	123.42	Fishbase (species)	123.42	individual	M=0.0178SL^2.902	Nakamura and Uchiyama (1966)	1	14947	g	98386	83440	6.5825	14947	all	unidentified squid	squid	ectotherm invertebrate	17.8	cm	n/a	0	n/a	17.8	Mantle length	n/a	n/a	individual	107.39	g	295.15	187.75	2.7483	107.39	M=0.0004(ML*10)^2.4124	Hunsicker & Essington (2006)	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
9613	n/a	3236	Merluccius bilinearis	Silver hake	ectotherm vertebrate	adult	piscivorous	410	mm	total length	368.18	0	410	Fishbase (species)	41	individual	M=0.0039SL^3.16	Schaefer (1960)	1	346.59	g	3606.9	3260.3	10.407	346.59	all	fish unidentified	fish	ectotherm vertebrate	240	mm	n/a	0	n/a	24	total length	n/a	n/a	individual	138.24	g	723.46	585.22	5.2333	138.24	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
30513	5275	16234	Pleuragramma antarcticum	Antarctic Silverfish	ectotherm vertebrate	postlarva/juvenile	planktivorous	17.7	mm	standard length	17.7	18.851	19.682	Fishbase (species)	1.9682	individual	M=0.0045SL^3.25	Kunzmann (1986)	1	0.028782	g	0.39904	0.37025	13.864	0.028782	all	calanoid egg	copepod egg	egg	0.17	mm	n/a	0	n/a	0.017	external diameter	n/a	n/a	individual	7.1308e-7	g	2.5711e-7	-4.5597e-7	0.36057	7.1308e-7	M=0.000068283D-0.00000044773	Huntley & Lopez (1992)	4	Antarctic Peninsula	63º00'S	58º00'W	881	-1.3	0.6	230	26	Kellermann, A. (1987)	Seasonal Pack Ice Zone	None
10671	n/a	4192	Urophysis chuss	Red hake	ectotherm vertebrate	adult	piscivorous	210	mm	total length	182.49	0	210	Fishbase (species)	21	individual	M=0.0124TL^3.0	Crawford (1993)	1	114.84	g	484.66	369.82	4.2204	114.84	all	fish unidentified	fish	ectotherm vertebrate	25	mm	n/a	0	n/a	2.5	total length	n/a	n/a	individual	0.15625	g	0.81771	0.66146	5.2333	0.15625	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
3247	n/a	777	Thunnus albacares	Yellowfin tuna	ectotherm vertebrate	adult	planktivorous	125	cm	standard length	125	129.4	143.38	Fishbase (species)	143.38	individual	M=0.0214SL^2.974	Le Guen and Sagakawa (1973)	1	36866	g	154240	117370	4.1838	36866	all	gelatinous	gelatinous	ectotherm invertebrate	9.5	cm	n/a	0	n/a	9.5	Total length	n/a	n/a	individual	44.869	g	44.869	0	1	44.869	M=((4/3)*3.14*(((TL/100)/2)^3)*100000)	Sphere	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
26185	n/a	14044	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	predacious	900	mm	total length	0	798.3	900	Fishbase (species)	90	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	3096.3	g	38151	35055	12.322	3096.3	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	61	mm	n/a	0	n/a	6.1	total length	n/a	n/a	individual	5.157	g	11.879	6.7216	2.3034	5.157	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
2030	91119	383	Thunnus thynnus	Atlantic bluefin tuna	ectotherm vertebrate	adult	piscivorous	208	cm	curved fork length	197.18	208	223.6	Fishbase (species)	208	individual	M=0.0231FL^2.934	Hsu et al. (2000)	1	146150	g	470940	324790	3.2222	146150	all	Clupea harengus	Atlantic herring	ectotherm vertebrate	24	cm	n/a	0	n/a	24	total length	n/a	n/a	individual	127.03	g	723.46	596.42	5.6951	127.03	M=0.0050*L^3.1915	Coull et al. (1989)	1	Great Channel South, Gulf of Maine, New England	41º71'N	69º76'W	12	10.4	5.7	1045	105	Chase, B.C. (2002)	Shelf	None
14939	Ge27	6977	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	68	cm	standard length	68	71.654	76.636	Fishbase (species)	76.636	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	6325.5	g	23555	17229	3.7237	6325.5	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	3.3109	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	3.3109	mass	n/a	n/a	individual	0.18349	g	1.8994	1.7159	10.351	0.18349	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
10438	n/a	3999	Merluccius bilinearis	Silver hake	ectotherm vertebrate	adult	predacious	280	mm	total length	251.44	0	280	Fishbase (species)	28	individual	M=0.0039SL^3.16	Schaefer (1960)	1	103.86	g	1148.8	1045	11.062	103.86	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	22	mm	n/a	0	n/a	2.2	total length	n/a	n/a	individual	0.21824	g	0.55725	0.339	2.5533	0.21824	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
12954	n/a	6213	Pomatomus saltatrix	Bluefish	ectotherm vertebrate	adult	piscivorous	370	mm	total length	321.9	341.51	370	Fishbase (species)	37	individual	M=0.0136TL^2.899	Haimovici and Velasco (2000)	1	478.36	g	2650.8	2172.5	5.5415	478.36	all	fish unidentified	fish	ectotherm vertebrate	58	mm	n/a	0	n/a	5.8	total length	n/a	n/a	individual	1.9511	g	10.211	8.2597	5.2333	1.9511	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
17929	XG64	7060	Xiphias gladius	Swordfish	ectotherm vertebrate	adult	predacious	204	cm	lower jaw to fork length	194.21	204	223.79	Fishbase (species)	223.79	individual	M=0.0078L^3.21	Chancollon et al. (2006)	1	272310	g	586530	314210	2.1539	272310	all	Gonatus steenstrupi	Squid	ectotherm invertebrate	123.29	mm	L = 10 ^((logM-log(0.0004))/2.4124)	4	Personal communication (Mary Hunsicker)	12.329	mass	n/a	n/a	individual	44.281	g	98.076	53.796	2.2149	44.281	Weighed	n/a	0	Off the Bay of Biscay	44º00'N	16º00'W	3798	15.6	2.7	469	51	Chancollon et al (2006)	Off the continental shelf	None
4270	n/a	836	Thunnus albacares	Yellowfin tuna	ectotherm vertebrate	adult	piscivorous	131	cm	standard length	131	135.61	150.26	Fishbase (species)	150.26	individual	M=0.0214SL^2.974	Le Guen and Sagakawa (1973)	1	42382	g	177530	135150	4.1889	42382	all	fish	fish	ectotherm vertebrate	5	cm	n/a	0	n/a	5	Standard length	n/a	n/a	individual	1.25	g	6.5417	5.2917	5.2333	1.25	M=0.01L^3	Standard fish shape	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
15380	Ge45	6990	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	63	cm	standard length	63	66.386	71.001	Fishbase (species)	71.001	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	5084.4	g	18731	13647	3.6841	5084.4	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	3.394	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	3.394	mass	n/a	n/a	individual	0.20242	g	2.046	1.8436	10.108	0.20242	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
23203	n/a	11331	Raja ocellata	Winter skate	ectotherm vertebrate	adult	predacious	800	mm	total length	0	0	800	n/a	80	individual	M=0.0022TL^3.295	Sulikowski et al. (2003)	1	4103	g	26795	22692	6.5305	4103	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	120	mm	n/a	0	n/a	12	total length	n/a	n/a	individual	42.037	g	90.432	48.395	2.1512	42.037	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
16353	Sami 24	6999	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	predacious	68	cm	standard length	68	71.654	76.636	Fishbase (species)	76.636	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	6325.5	g	23555	17229	3.7237	6325.5	all	Meganyctiphanes norvegica	Northern krill	ectotherm invertebrate	30.892	mm	L = 10^ ((logM-log(0.00000339))/3.23)	4	Morris et al. (1988)	3.0892	mass	n/a	n/a	individual	0.22	g	1.5429	1.3229	7.0131	0.22	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
24814	n/a	12788	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	piscivorous	910	mm	total length	0	807.17	910	Fishbase (species)	91	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	3213.8	g	39437	36223	12.271	3213.8	all	fish unidentified	fish	ectotherm vertebrate	97	mm	n/a	0	n/a	9.7	total length	n/a	n/a	individual	9.1267	g	47.763	38.636	5.2333	9.1267	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
12143	n/a	5510	Raja erinacea	Little skate	ectotherm vertebrate	adult	piscivorous	340	mm	total length	340	340	340	Fishbase (species)	34	individual	M=0.0027SL^3.184	Waring (1984)	1	203.05	g	2056.9	1853.9	10.13	203.05	all	fish unidentified	fish	ectotherm vertebrate	20	mm	n/a	0	n/a	2	total length	n/a	n/a	individual	0.08	g	0.41867	0.33867	5.2333	0.08	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
17727	XG43	7039	Xiphias gladius	Swordfish	ectotherm vertebrate	adult	predacious	84	cm	lower jaw to fork length	79.968	84	92.148	Fishbase (species)	92.148	individual	M=0.0078L^3.21	Chancollon et al. (2006)	1	15780	g	40948	25169	2.595	15780	all	Gonatus steenstrupi	Squid	ectotherm invertebrate	101.37	mm	L = 10 ^((logM-log(0.0004))/2.4124)	4	Personal communication (Mary Hunsicker)	10.137	mass	n/a	n/a	individual	27.612	g	54.511	26.899	1.9742	27.612	Weighed	n/a	0	Off the Bay of Biscay	44º00'N	16º00'W	3798	15.6	2.7	469	51	Chancollon et al (2006)	Off the continental shelf	None
24791	n/a	12767	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	piscivorous	820	mm	total length	0	727.34	820	Fishbase (species)	82	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	2262.3	g	28855	26593	12.755	2262.3	all	fish unidentified	fish	ectotherm vertebrate	259	mm	n/a	0	n/a	25.9	total length	n/a	n/a	individual	173.74	g	909.24	735.5	5.2333	173.74	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
33382	n/a	NA	Dicentrarchus labrax	European sea bass	ectotherm vertebrate	juvenile	predacious	32.23	mm	total length	0	0	32.23	n/a	3.223	mid-class	M=0.0123TL^2.9554	Dorel (1986)	1	0.39086	g	1.7521	1.3612	4.4827	0.39086	Mysids	Schistomysis spiritus	mysid	ectotherm invertebrate	2.2225	mm	n/a	0	n/a	0.22225	total length	n/a	n/a	individual	4.472e-5	g	5.7452e-4	5.298e-4	12.847	4.472e-5	M=0.00000339*(L*10)^3.23	Morris et al (1988)	4	Oxwich Bay, Wales	51º52'N	04º10'W	8	12.2	3.9	1399	NA	Lancaster (1991)	estuary/coastal	Predator length mid-class
7071	n/a	1257	Diaphus garmani	Myctophidae fish larva	ectotherm vertebrate	larva	planktivorous	6.3	mm	standard length	6.3	6.8329	7.7553	Fishbase (species)	0.77553	individual	M=0.0059TL^3.060	Madureira and Rossi-Wongtschowski (2005)	1	0.0027103	g	0.02441	0.0217	9.0064	0.0027103	all	Cladocera	Cladocera	microzooplankton	550	µm	n/a	0	n/a	0.055	length & max width	3.8000E+02	µm	individual	2.221e-6	g	8.707e-6	6.486e-6	3.9203	2.221e-6	M=(0.000000000003162(L*10000)^4.323)/1000000	Uye (1982)	4	Western North Pacific	37º00'N	143º00'E	3322	17.9	4.9	601	106	Sassa et al (2004)	transition region	Contiguous predators of same length assumed same individual
17332	Sami 42	7005	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	75	cm	standard length	75	79.031	84.525	Fishbase (species)	84.525	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	8371.4	g	31603	23232	3.7752	8371.4	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	4.687	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	4.687	mass	n/a	n/a	individual	0.72701	g	5.3885	4.6615	7.4119	0.72701	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
34298	n/a	NA	Dicentrarchus labrax	European sea bass	ectotherm vertebrate	juvenile	predacious	38	mm	total length	0	0	38	n/a	3.8	mid-class	M=0.0123TL^2.9554	Dorel (1986)	1	0.63591	g	2.8716	2.2357	4.5158	0.63591	Mysids	Schistomysis spiritus	mysid	ectotherm invertebrate	12.7	mm	n/a	0	n/a	1.27	total length	n/a	n/a	individual	0.012459	g	0.1072	0.09474	8.6041	0.012459	M=0.00000339*(L*10)^3.23	Morris et al (1988)	4	Oxwich Bay, Wales	51º52'N	04º10'W	8	12.2	3.9	1399	NA	Lancaster (1991)	estuary/coastal	Predator length mid-class
18083	XG75	7072	Xiphias gladius	Swordfish	ectotherm vertebrate	adult	predacious	91	cm	lower jaw to fork length	86.632	91	99.827	Fishbase (species)	99.827	individual	M=0.0078L^3.21	Chancollon et al. (2006)	1	20402	g	52062	31660	2.5518	20402	all	Galiteuthis armata	Squid	ectotherm invertebrate	134.85	mm	L = 10 ^((logM-log(0.0004))/2.4124)	4	Personal communication (Mary Hunsicker)	13.485	mass	n/a	n/a	individual	54.969	g	128.33	73.364	2.3346	54.969	Weighed	n/a	0	Off the Bay of Biscay	44º00'N	16º00'W	3798	15.6	2.7	469	51	Chancollon et al (2006)	Off the continental shelf	None
32324	6655	16861	Nototheniops larseni	Antarctic fish	ectotherm vertebrate	larva	predacious	55.2	mm	standard length	55.2	0	0	n/a	5.52	individual	M=0.0159SL^3	Froese and Pauly (2007)	2	2.6743	g	8.8023	6.128	3.2914	2.6743	all	Metridia gerlacei	copepod	ectotherm invertebrate	2.57	mm	n/a	0	n/a	0.257	cephalothorax length	n/a	n/a	individual	4.9139e-5	g	8.8834e-4	8.392e-4	18.078	4.9139e-5	M=(9.66*10-7*(L*10000)^2.26)/1000000	Satapoomin (1999)	3	Antarctic Peninsula	63º00'S	58º00'W	881	-1.3	0.6	230	26	Kellermann, A. (1990)	Seasonal Pack Ice Zone	None
10100	n/a	3690	Merluccius bilinearis	Silver hake	ectotherm vertebrate	adult	piscivorous	340	mm	total length	305.32	0	340	Fishbase (species)	34	individual	M=0.0039SL^3.16	Schaefer (1960)	1	191.82	g	2056.9	1865.1	10.723	191.82	all	fish unidentified	fish	ectotherm vertebrate	105	mm	n/a	0	n/a	10.5	total length	n/a	n/a	individual	11.576	g	60.582	49.006	5.2333	11.576	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
12850	n/a	6117	Raja erinacea	Little skate	ectotherm vertebrate	adult	predacious	490	mm	total length	490	490	490	Fishbase (species)	49	individual	M=0.0027SL^3.184	Waring (1984)	1	650.05	g	6157	5506.9	9.4715	650.05	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	30	mm	n/a	0	n/a	3	total length	n/a	n/a	individual	0.57101	g	1.413	0.84199	2.4746	0.57101	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
935	89025	280	Thunnus thynnus	Atlantic bluefin tuna	ectotherm vertebrate	adult	piscivorous	206	cm	curved fork length	195.29	206	221.45	Fishbase (species)	206	individual	M=0.0231FL^2.934	Hsu et al. (2000)	1	142070	g	457490	315420	3.2202	142070	all	Ammodytes sp.	Sand lance	ectotherm vertebrate	17	cm	n/a	0	n/a	17	total length	n/a	n/a	individual	14.019	g	257.11	243.09	18.34	14.019	M=0.0017L^3.1828	CEFAS Endeavour cruise 16/05	2	Stellwagen Bank, Gulf of Maine, New England	42º40'N	70º15'W	63	10.7	5.4	1002	98	Chase, B.C. (2002)	Shelf	None
1656	90213	359	Thunnus thynnus	Atlantic bluefin tuna	ectotherm vertebrate	adult	piscivorous	170	cm	curved fork length	161.16	170	182.75	Fishbase (species)	170	individual	M=0.0231FL^2.934	Hsu et al. (2000)	1	80863	g	257110	176250	3.1796	80863	all	Ammodytes sp.	Sand lance	ectotherm vertebrate	11	cm	n/a	0	n/a	11	total length	n/a	n/a	individual	3.5075	g	69.656	66.148	19.859	3.5075	M=0.0017L^3.1828	CEFAS Endeavour cruise 16/05	2	Great Channel South, Gulf of Maine, New England	41º71'N	69º76'W	12	10.4	5.7	1045	105	Chase, B.C. (2002)	Shelf	None
16468	Sami 24	6999	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	predacious	68	cm	standard length	68	71.654	76.636	Fishbase (species)	76.636	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	6325.5	g	23555	17229	3.7237	6325.5	all	Meganyctiphanes norvegica	Northern krill	ectotherm invertebrate	34.353	mm	L = 10^ ((logM-log(0.00000339))/3.23)	4	Morris et al. (1988)	3.4353	mass	n/a	n/a	individual	0.31	g	2.1216	1.8116	6.844	0.31	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
